                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88338,                0.83767,                0.92341,                0.57014,                0.53875,                0.50825,                0.33409,                0.92949,                0.87095,                0.92679,             0.00061203,             0.00061203,             0.00061203
                     36,                0.90298,                0.86551,                 0.9323,                0.60609,                0.53924,                0.51865,                0.35053,                0.88888,                0.85019,                0.91466,             0.00060303,             0.00060303,             0.00060303
                     37,                0.92183,                0.84127,                0.92791,                0.62749,                0.53444,                0.52798,                0.35671,                0.89952,                0.82787,                0.91979,             0.00059403,             0.00059403,             0.00059403
                     38,                0.88036,                0.81366,                0.92976,                0.66369,                0.53851,                0.53777,                0.35449,                0.89561,                0.84022,                 0.9162,             0.00058503,             0.00058503,             0.00058503
                     39,                0.89056,                0.78994,                0.91257,                0.51025,                0.48747,                 0.5234,                 0.3585,                0.89767,                0.85506,                0.92205,             0.00057603,             0.00057603,             0.00057603
                     40,                0.87112,                0.79604,                0.90685,                0.57869,                0.54163,                0.54424,                0.36564,                0.92587,                0.85245,                0.93987,             0.00056703,             0.00056703,             0.00056703
                     41,                0.86195,                0.78432,                0.92004,                0.56028,                0.54899,                0.54171,                0.33731,                0.92294,                0.89492,                 0.9328,             0.00055804,             0.00055804,             0.00055804
                     42,                0.84518,                0.79249,                0.90233,                0.57338,                0.46321,                0.53129,                0.31507,                0.91328,                 0.9548,                0.93053,             0.00054904,             0.00054904,             0.00054904
                     43,                0.86763,                0.79713,                0.91821,                0.55802,                0.38612,                0.53474,                0.31648,                0.91385,                 0.8711,                0.93142,             0.00054004,             0.00054004,             0.00054004
                     44,                0.83471,                0.77238,                 0.9084,                0.57927,                0.39042,                0.54254,                0.35587,                0.89524,                0.83841,                0.92097,             0.00053104,             0.00053104,             0.00053104
                     45,                0.85649,                 0.7625,                 0.9126,                0.56834,                 0.4961,                0.51206,                0.33776,                0.90313,                0.84613,                0.92553,             0.00052204,             0.00052204,             0.00052204
                     46,                0.84118,                0.76329,                 0.9066,                0.49628,                0.57042,                0.55567,                0.36322,                0.89328,                0.84826,                0.92418,             0.00051304,             0.00051304,             0.00051304
                     47,                0.85184,                0.74851,                0.89794,                0.44319,                0.54924,                0.52764,                0.37636,                0.89478,                0.84955,                0.92943,             0.00050404,             0.00050404,             0.00050404
                     48,                0.85267,                0.76299,                0.91334,                0.45271,                0.58365,                0.50682,                0.35755,                0.89976,                0.87701,                0.94416,             0.00049504,             0.00049504,             0.00049504
                     49,                0.82148,                 0.7392,                0.90298,                0.41243,                 0.5902,                0.52054,                0.36561,                0.93672,                0.89778,                0.95515,             0.00048604,             0.00048604,             0.00048604
                     50,                0.81342,                0.72713,                0.89613,                0.62294,                0.47807,                 0.5355,                 0.3747,                0.96509,                0.86439,                0.96432,             0.00047704,             0.00047704,             0.00047704
                     51,                0.84372,                 0.7398,                0.90156,                0.49375,                0.60726,                0.57047,                0.40058,                 1.0005,                0.87176,                0.97704,             0.00046804,             0.00046804,             0.00046804
                     52,                0.81712,                 0.7285,                0.90867,                 0.4972,                0.52345,                0.53302,                 0.3631,                 0.9503,                0.82476,                0.97028,             0.00045904,             0.00045904,             0.00045904
                     53,                0.83395,                0.70857,                0.90174,                0.52598,                0.50943,                0.55694,                0.36444,                0.97898,                0.83038,                0.97093,             0.00045005,             0.00045005,             0.00045005
                     54,                0.83355,                0.74063,                0.89695,                  0.536,                0.53755,                0.57045,                0.39378,                0.96887,                0.85425,                0.95878,             0.00044105,             0.00044105,             0.00044105
                     55,                0.82413,                0.71357,                0.89553,                0.49919,                0.53148,                0.55639,                0.40835,                0.96289,                0.81146,                0.95284,             0.00043205,             0.00043205,             0.00043205
                     56,                 0.8236,                0.71222,                0.89443,                0.46811,                0.54775,                0.53153,                0.39507,                0.93081,                0.79359,                 0.9399,             0.00042305,             0.00042305,             0.00042305
                     57,                0.84021,                0.68907,                0.89826,                0.40885,                0.57377,                0.52278,                0.38081,                 0.8884,                 0.7965,                0.93448,             0.00041405,             0.00041405,             0.00041405
                     58,                0.81107,                0.69771,                0.89166,                0.52951,                0.53483,                0.54668,                0.39212,                0.87879,                0.78017,                 0.9348,             0.00040505,             0.00040505,             0.00040505
                     59,                0.80064,                0.69863,                0.89551,                0.73154,                0.48654,                0.54427,                0.38332,                0.92046,                0.78495,                0.93656,             0.00039605,             0.00039605,             0.00039605
                     60,                0.77566,                0.68069,                0.89691,                0.75236,                0.47089,                0.54019,                0.37779,                 0.9003,                0.76653,                0.93508,             0.00038705,             0.00038705,             0.00038705
                     61,                0.78201,                0.66702,                0.88008,                0.74408,                0.45453,                0.54695,                0.39886,                0.89782,                0.76992,                0.92826,             0.00037805,             0.00037805,             0.00037805
                     62,                0.77983,                0.67241,                0.88865,                0.46997,                0.54867,                0.53864,                 0.3786,                0.88266,                0.77669,                0.92613,             0.00036905,             0.00036905,             0.00036905
                     63,                0.78092,                0.68134,                0.89052,                0.75623,                0.44461,                0.52481,                 0.3638,                0.87069,                0.76891,                0.93048,             0.00036005,             0.00036005,             0.00036005
                     64,                0.78821,                0.67983,                0.89102,                0.69479,                0.45035,                0.51877,                0.36298,                0.86652,                0.78157,                0.92457,             0.00035106,             0.00035106,             0.00035106
                     65,                0.77067,                0.68194,                0.89113,                0.46169,                 0.5327,                0.51892,                0.35984,                0.87199,                0.77899,                0.92904,             0.00034206,             0.00034206,             0.00034206
                     66,                0.77511,                0.66104,                0.88606,                0.48582,                0.57146,                0.54438,                0.37332,                0.89005,                0.77508,                0.93611,             0.00033306,             0.00033306,             0.00033306
                     67,                0.76332,                0.65124,                0.88063,                0.50954,                0.60327,                0.54602,                0.37885,                 0.8758,                0.76325,                0.93227,             0.00032406,             0.00032406,             0.00032406
                     68,                0.80519,                0.66657,                0.89674,                0.50081,                0.60452,                0.54355,                0.37179,                0.87047,                 0.7787,                0.93278,             0.00031506,             0.00031506,             0.00031506
                     69,                0.76975,                0.65733,                0.87918,                0.44764,                0.50611,                0.52322,                0.35996,                0.85792,                0.78973,                0.93122,             0.00030606,             0.00030606,             0.00030606
                     70,                0.75495,                0.63731,                0.88384,                0.43806,                0.51778,                0.52895,                0.35799,                0.86606,                0.77638,                0.92656,             0.00029706,             0.00029706,             0.00029706
                     71,                0.77232,                0.62467,                0.87239,                0.52875,                0.53648,                0.54133,                0.37049,                0.87164,                0.76499,                0.92443,             0.00028806,             0.00028806,             0.00028806
                     72,                0.77237,                0.64425,                0.88639,                0.56935,                 0.5683,                0.53767,                0.38324,                0.84139,                0.76088,                0.91826,             0.00027906,             0.00027906,             0.00027906
                     73,                0.76133,                0.64397,                0.88614,                0.62705,                0.52477,                0.54031,                0.37789,                0.85889,                0.77502,                0.92153,             0.00027006,             0.00027006,             0.00027006
                     74,                0.76203,                0.64152,                0.88881,                 0.6086,                0.53911,                 0.5352,                0.37569,                0.87709,                0.77261,                0.92625,             0.00026106,             0.00026106,             0.00026106
                     75,                0.75343,                0.63679,                0.88081,                0.65289,                 0.5139,                0.54865,                0.37945,                0.87247,                0.78076,                0.93208,             0.00025207,             0.00025207,             0.00025207
